,MLS #,Address,City,# Bed,# Bth,Yr Blt,Acres,SqFt,$/SqFt,List Price,Sold Price,Sale Date,SP%LP,DOM
0,CA1490686,468 Doon South Drive #27,Kitchener,3,2/0,,,"1,544",$0.87,"$269,900","$1,350",05/06/2014,0.50,84
1,CA1490770,468 Doon South Drive #12,Kitchener,3,2/0,,,"1,521",$0.89,"$267,900","$1,350",04/27/2014,0.50,72
2,KW1417914,580 Beaver Creek Road #182,Waterloo,2,2/0,1984,,720,$6.94,"$10,000","$5,000",04/28/2014,50.00,35
3,KW1422163,375 King Street #707,Waterloo,2,0/0,,,,,"$169,900","$14,400",05/26/2014,8.48,33
4,KW1347300,1654 Fischer-Hallman Road #2B,Kitchener,2,0/0,2013,,"1,314",$11.64,"$235,000","$15,300",01/20/2014,6.51,39
5,KW1417884,50 Howe Drive #8B,Kitchener,3,1/1,2008,,"1,500",$10.24,"$228,900","$15,360",04/22/2014,6.71,27
6,KW1421422,8 Colton Circle,Kitchener,3,2/0,2006,,"1,450",$11.59,"$289,900","$16,800",05/27/2014,5.80,48
7,KW1422297,404 King Street #124,Kitchener,1,0/0,,,890,$18.88,"$239,000","$16,800",06/18/2014,7.03,48
8,KW1412057,191 King Street #1207,Waterloo,1,0/0,2009,,691,$25.18,"$319,900","$17,400",04/11/2014,5.44,75
9,KW1347383,191 King Street #1112,Waterloo,2,0/0,,,"1,265",$18.97,"$425,000","$24,000",02/07/2014,5.65,49
10,KW1411094,278 Thomas Slee Drive,Kitchener,4,0/0,2013,,,,"$499,900","$24,000",01/29/2014,4.80,25
11,KW1347223,55 Blue Springs Drive #914,Waterloo,2,0/0,,,,,"$205,000","$31,200",02/12/2014,15.22,63
12,KW1424068,6 Willow Street #2401,Waterloo,2,2/0,1999,,"2,265",$29.67,"$799,900","$67,200",06/06/2014,8.40,35
13,KW1411021,279 Chandler Drive #308,Kitchener,1,0/0,1973,,,,"$112,900","$105,000",01/29/2014,93.00,32
