,MLS #,Address,City,# Bed,# Bth,Yr Blt,Acres,SqFt,$/SqFt,List Price,Sold Price,Sale Date,SP%LP,DOM
0,CA1591441,28 Eliza Avenue #P027,Kitchener,3,3/0,,,"1,545",,"$327,770",,05/13/2015,0.00,3
1,KW1444889,210 Templewood Drive,Kitchener,3,0/0,2010,,"1,522",$10.25,"$299,900","$15,600",01/02/2015,5.20,35
2,KW1517523,150 Queen Street #903,Kitchener,2,0/0,1989,,"1,074",$14.53,"$189,900","$15,600",05/01/2015,8.21,49
3,KW1514013,223 Erb Street #203,Waterloo,2,0/0,,,,,"$309,900","$16,740",04/13/2015,5.40,101
4,KW1511076,201 Seabrook Drive,Kitchener,4,0/0,2014,,"1,833",$10.41,"$425,000","$19,080",01/27/2015,4.49,23
5,KW1511681,223 Erb Street #505,Waterloo,2,0/0,2012,,,,"$357,500","$19,250",02/18/2015,5.38,26
6,KW1447200,112 Benton Street #309,Kitchener,2,0/0,,,"1,209",$18.86,"$389,000","$22,800",03/25/2015,5.86,106
7,KW1514920,191 King Street #1112,Waterloo,2,0/0,,,"1,265",$18.97,"$425,000","$24,000",05/28/2015,5.65,90
8,KW1437881,290 Terrace Wood Crescent,Kitchener,2,0/0,,,,,"$1,099,500","$42,000",01/26/2015,3.82,131
9,KW1524178,64 Benton Street #1303,Kitchener,1,0/0,,,,,"$114,900","$105,000",05/20/2015,91.38,16
10,KW1441658,18 Holborn Court #310,Kitchener,2,0/0,1985,,"1,000",$107.00,"$115,000","$107,000",01/13/2015,93.04,90
11,KW1517152,283 Fairway Road #90,Kitchener,2,0/0,1969,,780,$139.74,"$114,500","$109,000",04/30/2015,95.20,57
12,KW1444433,64 Benton Street #304,Kitchener,1,0/0,,,600,$193.33,"$117,900","$116,000",02/23/2015,98.39,103
13,KW1444489,30 Hugo Crescent #207,Kitchener,1,0/0,1991,,840,$138.10,"$119,900","$116,000",01/23/2015,96.75,70
14,KW1511245,30 Avalon Place #209,Kitchener,2,0/0,,,793,$148.68,"$119,900","$117,900",02/18/2015,98.33,41
15,KW1511500,30 Hugo Crescent #211,Kitchener,1,0/0,,,,,"$118,500","$118,000",01/27/2015,99.58,12
16,KW1518037,29 West Avenue #609,Kitchener,2,0/0,,,,,"$125,000","$118,000",05/13/2015,94.40,49
17,KW1518092,30 Avalon Place #101,Kitchener,2,0/0,,,793,$150.06,"$122,900","$119,000",04/13/2015,96.83,18
18,KW1511175,30 Avalon Place #303,Kitchener,2,0/0,,,793,$151.32,"$122,000","$120,000",02/21/2015,98.36,44
19,KW1514282,1100 Courtland Avenue #815,Kitchener,1,0/0,,,,,"$122,800","$120,000",04/23/2015,97.72,76
20,KW1517260,29 West Avenue #110,Kitchener,2,0/0,1970,,,,"$125,000","$120,000",05/01/2015,96.00,55
21,KW1511281,18 Holborn Court #508,Kitchener,2,0/0,,,,,"$124,900","$121,000",02/10/2015,96.88,32
22,KW1517945,279 Chandler Drive #505,Kitchener,1,0/0,1973,,900,$134.44,"$123,000","$121,000",05/19/2015,98.37,55
23,KW1441584,1414 King Street #607,Kitchener,1,0/0,1987,,,,"$130,000","$122,500",01/09/2015,94.23,87
24,KW1447461,29 West Avenue #407,Kitchener,2,0/0,,,,,"$129,900","$124,000",01/29/2015,95.46,37
25,KW1442105,375 King Street #1201,Waterloo,3,0/0,,,,,"$130,500","$125,000",01/22/2015,95.79,87
26,KW1515036,67 Breckenridge Drive #303,Kitchener,1,0/0,1987,,760,$164.47,"$129,900","$125,000",04/23/2015,96.23,54
27,KW1517360,18 Holborn Court #104,Kitchener,2,0/0,1990,,"1,000",$125.00,"$129,900","$125,000",04/22/2015,96.23,44
28,CA1495856,18 Holborn Court #607,Kitchener,2,2/0,1990,,"1,000",$128.50,"$134,900","$128,500",02/10/2015,95.26,58
29,CA1590713,203 Fairway Road,Kitchener,3,2/0,1994,,"1,050",$122.86,"$139,900","$129,000",04/09/2015,92.21,51
30,KW1514676,203 Fairway Road #5,Kitchener,3,0/0,1994,,"1,050",$122.86,"$139,900","$129,000",04/09/2015,92.21,51
31,KW1514935,29 West Avenue #711,Kitchener,2,0/0,,,750,$172.00,"$135,000","$129,000",05/25/2015,95.56,88
32,KW1511131,18 Holborn Crescent #605,Kitchener,2,0/0,1990,,"1,050",$123.33,"$129,900","$129,500",02/09/2015,99.69,32
33,KW1521361,80 Breckenridge Drive #101,Kitchener,3,0/0,1978,,,,"$129,900","$129,900",04/22/2015,100.00,13
34,KW1438179,10 Ellen Street #704,Kitchener,1,0/0,1990,,674,$192.88,"$132,900","$130,000",01/15/2015,97.82,113
35,KW1517883,65 Highland Crescent #107,Kitchener,2,0/0,1988,,,,"$136,900","$130,000",05/05/2015,94.96,42
36,CA1590560,29 West Avenue #411,Kitchener,2,1/0,1970,,750,$174.00,"$132,900","$130,500",04/16/2015,98.19,69
37,KW1441262,65 Highland Crescent #804,Kitchener,1,0/0,1988,,800,$163.75,"$134,900","$131,000",01/23/2015,97.11,109
38,KW1511650,18 Holborn Court #306,Kitchener,2,0/0,,,"1,000",$131.00,"$134,000","$131,000",02/11/2015,97.76,22
39,KW1521134,4 Avalon Place #104,Kitchener,3,0/0,1978,,"1,100",$120.73,"$132,000","$132,800",05/15/2015,100.61,44
40,KW1444827,35 Breckenridge Drive #32,Kitchener,2,0/0,1972,,900,$148.33,"$137,500","$133,500",01/06/2015,97.09,41
41,KW1524637,18 Holborn Court #212,Kitchener,2,0/0,,,"1,000",$134.00,"$134,500","$134,000",06/09/2015,99.63,28
42,KW1444351,29 West Avenue #205,Kitchener,3,0/0,,,"1,050",$128.57,"$138,900","$135,000",02/05/2015,97.19,87
